,,,,
,,,,
,,,,
,,,,
Pos.,Giocatore,,Ruolo,PG
338,Scott McTominay,,Cen,20
339,Filippo Melegoni,,"Cen,Att",3
340,Alex Meret,,Por,20
341,Junior Messias,,"Cen,Att",6
342,Valentin Mihaila,,"Att,Cen",21
343,Vanja Milinković-Savić,,Por,22
344,Yerry Mina,,Dif,19
345,Juan Miranda,,Dif,18
346,Fabio Miretti,,"Cen,Att",17
347,Henrikh Mkhitaryan,,Cen,20
348,Rui Modesto,,Dif,9
349,Lorenzo Montipò,,Por,22
350,Álvaro Morata,,"Att,Cen",16
351,Alberto Moreno,,Dif,17
352,Matias Moreno,,Dif,1
353,Tete Morente,,"Att,Cen",19
354,Nikola Moro,,Cen,14
355,Daniel Mosquera,,"Att,Cen",21
356,Dany Mota,,"Cen,Att",18
357,Bob Murphy Omoregbe,,Cen,1
358,Yunus Musah,,"Cen,Att",17
359,Juan Musso,,Por,1
360,Kingstone Mutandwa,,"Cen,Att",3
361,Obite N'Dicka,,Dif,23
362,Michel Ndary Adopo,,Cen,20
363,Dan Ndoye,,Att,18
364,David Neres,,Att,21
365,Cyril Ngonge,,"Att,Dif",8
366,Cheikh Niasse,,Cen,1
367,Hans Nicolussi Caviglia,,Cen,21
368,Eybi Nije,,"Att,Cen",16
369,Brooke Norton-Cuffy,,"Dif,Cen",6
370,Tijjani Noslin,,"Att,Cen",18
371,Adam Obert,,Dif,14
372,Jens Odgaard,,"Cen,Att",20
373,Noah Okafor,,Att,11
374,Yllan Okou,,Dif,1
375,Maduka Okoye,,Por,14
376,Mathías Olivera,,Dif,20
377,Jacob Ondrejka,,Cen,1
378,Gaetano Oristanio,,"Cen,Att",23
379,Riccardo Orsolini,,Att,17
380,Yordan Osorio,,Dif,3
381,Remi Oudin,,"Cen,Att",11
382,Cheick Oumar Conde,,Cen,2
383,Simone Pafundi,,Cen,2
384,Tiago Palacios,,Dif,1
385,Tiago Palacios,,Dif,2
386,Alberto Paleari,,Por,1
387,Marco Palestra,,Dif,5
388,Leandro Paredes,,Cen,13
389,Fabiano Parisi,,Dif,13
390,Mario Pašalić,,Cen,20
391,Patric,,Dif,8
392,Rui Patrício,,Por,1
393,Benjamin Pavard,,Dif,14
394,Strahinja Pavlović,,Dif,12
395,Leonardo Pavoletti,,"Att,Cen",16
396,Martín Payero,,Cen,14
397,Nicolás Paz,,"Cen,Att",21
398,Marcus Pedersen,,Dif,18
399,Pedro,,"Att,Cen",16
400,Pietro Pellegri,,Att,11
401,Lorenzo Pellegrini,,Cen,18
402,Luca Pellegrini,,Dif,14
403,Andy Pelmard,,Dif,3
404,Pedro Pereira,,Dif,21
405,Gastón Pereiro,,Cen,2
406,Kike Pérez,,Cen,1
407,Nehuén Pérez,,Dif,2
408,Simone Perilli,,Por,1
409,Mattia Perin,,Por,5
410,Máximo Perrone,,Cen,12
411,Matteo Pessina,,Cen,11
412,Andrea Petagna,,Att,7
413,Giuseppe Pezzella,,"Dif,Att",21
414,Roberto Piccoli,,Att,23
415,Nicholas Pierini,,Cen,2
416,Santiago Pierotti,,Att,22
417,Balthazar Pierret,,Cen,18
418,Andrea Pinamonti,,Att,22
419,Niccolò Pisilli,,Cen,18
420,Semuel Pizzignacco,,Por,4
421,Tommaso Pobega,,Cen,9
422,Joel Pohjanpalo,,Att,20
423,Matteo Politano,,"Att,Cen",22
424,Marin Pongračić,,Dif,5
425,Stefan Posch,,Dif,14
426,Matteo Prati,,Cen,6
427,Ivan Provedel,,Por,23
428,Diego Pugno,,Att,1
429,Christian Pulisic,,"Att,Cen",18
430,Hamza Rafia,,Cen,17
431,Antonio Raimondo,,"Att,Dif",9
432,Ylber Ramadani,,Cen,20
433,Luca Ranieri,,Dif,21
434,Giacomo Raspadori,,"Att,Cen",12
435,Federico Ravaglia,,Por,7
436,Ante Rebić,,"Att,Cen",18
437,Tijjani Reijnders,,Cen,21
438,Pepe Reina,,Por,10
439,Devyne Rensch,,Dif,2
440,Mateo Retegui,,Att,21
441,Samuele Ricci,,Cen,23
442,Amir Richardson,,Cen,15
443,Sergi Roberto,,Cen,10
444,Alessio Romagnoli,,Dif,19
445,Marten de Roon,,"Cen,Dif",22
446,Jonas Rouhi,,Dif,4
447,Nicolò Rovella,,Cen,20
448,Amir Rrahmani,,Dif,23
449,Tommaso Rubino,,Cen,1
450,Matteo Ruggeri,,Dif,19
451,Stefano Sabelli,,Dif,21
452,Alexis Saelemaekers,,"Dif,Att",11
453,Alexis Saelemaekers,,"Dif,Att",1
454,Richie Sagrado,,Dif,3
455,Marco Sala,,Dif,8
456,Lazar Samardzic,,"Cen,Att",21
457,Junior Sambia,,"Dif,Att",7
458,Antonio Sanabria,,Att,18
459,Alexis Sánchez,,Att,6
460,Nicola Sansone,,"Cen,Att",5
461,Amin Sarr,,Att,17
462,Razvan Sava,,Por,9
463,Nicolò Savona,,Dif,20
464,Saba Sazonov,,Dif,1
465,Giorgio Scalvini,,Dif,6
466,Gianluca Scamacca,,Att,1
467,Joël Schingtienne,,Dif,3
468,Simone Scuffet,,Por,13
469,Jacopo Seghetti,,Por,1
470,Stefano Sensi,,Cen,7
471,Suat Serdar,,Cen,14
472,Stephan El Shaarawy,,"Dif,Cen",19
473,Alen Sherri,,Por,6
474,Eldor Shomurodov,,"Att,Cen",12
475,Giovanni Simeone,,Att,20
